Data Type Code,Data Type Description,Data Time,Data Value,Unit
QCO,MANUAL-Observed Discharge 4,2022-09-04T08:00:00,32.3,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-09-11T08:00:00,24.7,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-09-18T08:00:00,12.07,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-09-25T08:00:00,8.255,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-10-02T08:00:00,6.736,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-10-05T08:00:00,9.509,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-10-09T08:00:00,5.708,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-10-16T08:00:00,50.96,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-10-23T08:00:00,36.75,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-10-24T08:00:00,34.48,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-10-30T08:00:00,12.82,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-11-06T08:00:00,5.673,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-11-08T08:00:00,5.559,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-11-13T08:00:00,4.272,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-11-20T08:00:00,11.26,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-11-27T08:00:00,12.05,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-12-04T08:00:00,9.031,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-12-11T08:00:00,8.007,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-12-18T08:00:00,4.817,m3/sec
QCO,MANUAL-Observed Discharge 4,2022-12-25T08:00:00,8.926,m3/sec
QCO,MANUAL-Observed Discharge 4,2023-01-01T08:00:00,4.263,m3/sec
QCO,MANUAL-Observed Discharge 4,2023-01-08T08:00:00,0.937,m3/sec
QCO,MANUAL-Observed Discharge 4,2023-01-15T08:00:00,0.933,m3/sec
QCO,MANUAL-Observed Discharge 4,2023-01-22T08:00:00,3.618,m3/sec
QCO,MANUAL-Observed Discharge 4,2023-01-26T08:00:00,3.031,m3/sec
QCO,MANUAL-Observed Discharge 4,2023-01-29T08:00:00,2.76,m3/sec
QCO,MANUAL-Observed Discharge 4,2023-02-05T08:00:00,2.26,m3/sec
QCO,MANUAL-Observed Discharge 4,2023-02-12T08:00:00,0.8,m3/sec
QOB,MANUAL-Observed Discharge 3,2001-10-02T13:30:00,3.5111809,m3/sec
QOB,MANUAL-Observed Discharge 3,2001-12-15T08:00:00,0,m3/sec
